time,conversion,size_x,size_y,n_seeds,run_id,rng_seed
0.018425223680789023,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.10166536465017596,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.16283923333846623,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.22936791060862008,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.24342678130389578,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.2539004065389451,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.33728485762118116,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.5313571870267374,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.5352502030556255,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.604640923619595,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.6626513380867818,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.6914900548657414,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.7557580474531757,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.9442041687173864,0.0,70,70,100,size_70x70_run_001_seed_123,123
0.9777589189061918,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.0201824322953204,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.0280601495609973,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.058231200306182,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.0939604218415897,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.1142537231932512,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.1451106955776127,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.2578628250344384,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.270360853614503,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.2820834510383223,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.3317713588957913,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.3362549844815306,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.345540986184579,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.3807868733286837,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.4511142243432,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.4573152604327637,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.4753377389043818,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.5519300198126535,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.6084292580533954,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.6279360620209136,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.6762873428883354,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.6910821860829008,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.716696804708337,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.743554055159517,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.7453441829348084,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.74606018810091,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.8428447386008662,0.0,70,70,100,size_70x70_run_001_seed_123,123
1.9085073696885908,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.032404763045997,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.0722221734522495,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.0750568202979016,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.0780703367372015,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.124170572833499,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.2145869282150343,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.24687420402569,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.281270464965136,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.2948169050077856,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.3166113174468235,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.3678397330606633,0.0,70,70,100,size_70x70_run_001_seed_123,123
2.409814514161322,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.4394266369848605,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.466774301102736,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.5574846050555293,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.610041562996848,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.651703474129052,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.6519137872312593,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.69041979584361,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.7306761748705815,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.7593613532002292,0.04997501249375312,70,70,100,size_70x70_run_001_seed_123,123
2.7705759661778964,0.0999000999000999,70,70,100,size_70x70_run_001_seed_123,123
2.772275897371571,0.0999000999000999,70,70,100,size_70x70_run_001_seed_123,123
2.8037226082691933,0.0999000999000999,70,70,100,size_70x70_run_001_seed_123,123
2.827103514560213,0.0999000999000999,70,70,100,size_70x70_run_001_seed_123,123
2.904146682296166,0.0999000999000999,70,70,100,size_70x70_run_001_seed_123,123
2.9129623442908006,0.0999000999000999,70,70,100,size_70x70_run_001_seed_123,123
