model,r2,rmse,mape,aic,bic,params
Modelo Pasternack,0.998141795876507,1.4923630824667273,5.188578575086164,19.20649485064443,20.389842314661745,"[100.61500403,  41.80219555,  55.40327911,   0.22119172,   1.14622102,
   5.37631575]"
Modelo de Segundo Orden,0.9956741103194852,2.277012984986072,6.277407110975078,24.8115608152874,25.797683701968495,"[ 1.00389844e+01,  9.22246644e-02,  9.17027855e+01,  3.48195499e-02,
 -3.21537664e+00]"
Modelo Avrami,0.9891727933580909,3.6023507802075225,16.132796472986616,29.068559283408202,29.66023301541686,"[99.12746686,  0.71872356,  2.04878221]"
