time,conversion,size_x,size_y,run_id,rng_seed
0.05642724752241638,0.0,40,40,size_40x40_run_004_seed_123,123
0.308039570956103,0.0,40,40,size_40x40_run_004_seed_123,123
0.49061061399602224,0.0,40,40,size_40x40_run_004_seed_123,123
0.6867115660903705,0.0,40,40,size_40x40_run_004_seed_123,123
0.7276525830215875,0.0,40,40,size_40x40_run_004_seed_123,123
0.757794433596433,0.0,40,40,size_40x40_run_004_seed_123,123
0.9910320555830867,0.0,40,40,size_40x40_run_004_seed_123,123
1.5279500143559772,0.0,40,40,size_40x40_run_004_seed_123,123
1.539103628780739,0.0,40,40,size_40x40_run_004_seed_123,123
1.7356849219377783,0.0,40,40,size_40x40_run_004_seed_123,123
1.8982287717367017,0.0,40,40,size_40x40_run_004_seed_123,123
1.978170328709644,0.0,40,40,size_40x40_run_004_seed_123,123
2.154460424307627,0.0,40,40,size_40x40_run_004_seed_123,123
2.66609229683072,0.0,40,40,size_40x40_run_004_seed_123,123
2.756282379679553,0.0,40,40,size_40x40_run_004_seed_123,123
2.869194254889055,0.0,40,40,size_40x40_run_004_seed_123,123
2.8899602247820524,0.0,40,40,size_40x40_run_004_seed_123,123
2.9687461606018912,0.0,40,40,size_40x40_run_004_seed_123,123
3.061188928051405,0.0,40,40,size_40x40_run_004_seed_123,123
3.1133405812800556,0.0,40,40,size_40x40_run_004_seed_123,123
3.185733626734843,0.0,40,40,size_40x40_run_004_seed_123,123
3.474563503879927,0.0,40,40,size_40x40_run_004_seed_123,123
3.5651324581893986,0.0,40,40,size_40x40_run_004_seed_123,123
3.5947106532295074,0.0,40,40,size_40x40_run_004_seed_123,123
3.6128299552893863,0.0,40,40,size_40x40_run_004_seed_123,123
3.7263378396077242,0.0,40,40,size_40x40_run_004_seed_123,123
3.769905887120477,0.0,40,40,size_40x40_run_004_seed_123,123
3.9617649091650016,0.0,40,40,size_40x40_run_004_seed_123,123
4.312562984324177,0.0,40,40,size_40x40_run_004_seed_123,123
4.48895900238034,0.0,40,40,size_40x40_run_004_seed_123,123
4.495764681631067,0.0,40,40,size_40x40_run_004_seed_123,123
4.524081598710273,0.0,40,40,size_40x40_run_004_seed_123,123
4.660751077336815,0.0,40,40,size_40x40_run_004_seed_123,123
4.716523304357983,0.0,40,40,size_40x40_run_004_seed_123,123
4.72017349339612,0.0,40,40,size_40x40_run_004_seed_123,123
4.891995089978879,0.0,40,40,size_40x40_run_004_seed_123,123
4.950647393349735,0.0,40,40,size_40x40_run_004_seed_123,123
4.987732653288333,0.0,40,40,size_40x40_run_004_seed_123,123
4.99179788010941,0.0,40,40,size_40x40_run_004_seed_123,123
5.40769374918764,0.0,40,40,size_40x40_run_004_seed_123,123
5.615749030115415,0.0,40,40,size_40x40_run_004_seed_123,123
5.635984527966092,0.0,40,40,size_40x40_run_004_seed_123,123
5.727744499118498,0.0,40,40,size_40x40_run_004_seed_123,123
5.760514148024295,0.0,40,40,size_40x40_run_004_seed_123,123
5.819935911575995,0.0,40,40,size_40x40_run_004_seed_123,123
5.824231843723386,0.0,40,40,size_40x40_run_004_seed_123,123
5.981414061944284,0.0,40,40,size_40x40_run_004_seed_123,123
6.1615879681710695,0.0,40,40,size_40x40_run_004_seed_123,123
6.3046434225387955,0.0,40,40,size_40x40_run_004_seed_123,123
6.37126881511565,0.0,40,40,size_40x40_run_004_seed_123,123
6.388527714952018,0.0,40,40,size_40x40_run_004_seed_123,123
6.430045797002227,0.0,40,40,size_40x40_run_004_seed_123,123
6.599977886602197,0.0,40,40,size_40x40_run_004_seed_123,123
6.678553608232098,0.04997501249375312,40,40,size_40x40_run_004_seed_123,123
