run_id,sigma,time,conversion
size_80x80_sigma_0.3_seed_123,0.3,0.006223332006775896,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.028376628379111667,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.044743116568601374,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.06251220384246772,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.06562188974917825,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.06795096501727521,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.08380482481764491,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.12072612275728578,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.1214707360831105,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.13475054933648253,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.14585864640553367,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.15138387148913665,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.16370374894776255,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.1954106746514322,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.20106315444331244,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.2074423177677437,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.20862886279162898,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.2127388516453489,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.2176159336146353,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.2201476329763138,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.22401744516037847,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.23819034657012678,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.23976492391667165,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.24112670670937625,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.24691328190756956,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.24743628426247943,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.24852501222267862,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.2523632870894219,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.26004216387403667,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.2607226657644493,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.2627055789449787,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.2705810668370618,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.27641956514895216,0.0
size_80x80_sigma_0.3_seed_123,0.3,0.27844081948065474,0.0
