run_id,sigma,time,conversion
size_80x80_sigma_0.4_seed_123,0.4,0.2187534997469793,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.22053505700992984,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2229627589179534,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.22353591281716506,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2256606314570081,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2258333250698019,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.22875997932852743,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.23287272089264677,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.23416443977493479,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2347027999963781,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.23489540702904835,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.23584192868927292,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.23750593828988834,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.23873185522088836,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.23877789034014907,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.24077133080585478,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2414325766671705,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.24544877536289475,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.24653554839497474,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.24683546906078196,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.24976289500548132,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2506072695337251,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2507768485830287,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.25109537463314147,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2528052463788827,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2540572444539497,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2558088718381644,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2569087080771081,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2582398298389871,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.26014361337267056,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2609299239554087,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.26273484041022915,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.26465594006679366,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2719595360718082,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.27325891083414205,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2766576727597624,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.27678284759066685,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2781991603641943,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2792544129129844,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2794577973630549,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.28078038980108055,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2808397009584164,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.28135897898328954,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2847896584635122,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.28546864344998424,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.28559076043729487,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.28569924534797664,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.28692463268256835,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.28864747548828573,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.28985951268727833,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2926943731220656,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.29289480739040336,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.29340795849807716,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.2935871115279687,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3056389303668345,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3071425044156542,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3075198458355499,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3080930862612177,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.30947179050329077,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.31004966898883773,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3112867311620588,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.311438669331702,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3116855661573944,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.31232515753804685,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.312342767673679,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3124368874176983,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3124533603348105,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3138848721408595,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.31406019909076843,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.31424845265532586,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.31673112295848227,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3196317690765722,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.32209252364935503,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.32226316948460587,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3237871197515902,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3249337266604256,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.32632244426420637,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3274446640082671,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.32976982474869865,0.04997501249375312
size_80x80_sigma_0.4_seed_123,0.4,0.3311405800107972,0.04997501249375312
