time,conversion
1.2452219538218227e-07,0.0
6.931293932592593e-07,0.0
1.113676349963672e-06,0.0
1.5740584387166044e-06,0.0
1.6723829179912376e-06,0.0
1.7461103159261e-06,0.0
2.339299975879022e-06,0.0
3.7345119465427837e-06,0.0
3.76279476327279e-06,0.0
4.270006702024497e-06,0.0
4.6984863718862554e-06,0.0
4.91283720026234e-06,0.0
5.3955155229287145e-06,0.0
6.8255839182771685e-06,0.0
7.082874377816091e-06,0.0
7.411551942512844e-06,0.0
7.473218689053739e-06,0.0
7.711847254019614e-06,0.0
7.997363880781294e-06,0.0
8.160507173923379e-06,0.0
8.411133413027558e-06,0.0
9.336363118307483e-06,0.0
9.439975905708596e-06,0.0
9.538159376317242e-06,0.0
9.958598506216745e-06,0.0
9.996893463747039e-06,0.0
1.0077019426991684e-05,0.0
1.0382904220233955e-05,0.0
1.0999485226744192e-05,0.0
1.105440684815908e-05,0.0
1.1215658373749541e-05,0.0
1.1907937865071467e-05,0.0
1.242381218462001e-05,0.0
1.2603736556127928e-05,0.0
1.3054254764776745e-05,0.0
1.319278003649104e-05,0.0
1.3479156437263752e-05,0.0
1.3734599772497764e-05,0.0
1.4301657035402208e-05,0.0
1.430860685093283e-05,0.0
1.4340929747678056e-05,0.0
1.4988005947499237e-05,0.0
1.528115918069572e-05,0.0
1.5681186832730034e-05,0.0
1.5843735324615736e-05,0.0
1.5874460084259943e-05,0.0
1.5914847194428435e-05,0.0
1.601992198073139e-05,0.0
1.6568253754767156e-05,0.0
1.6868134210537888e-05,0.0
1.7168502693275016e-05,0.0
1.71837685758965e-05,0.0
1.7421400260897365e-05,0.0
1.7937348133439703e-05,0.0
1.829410698242167e-05,0.0
1.8353459025050336e-05,0.0
1.942100704675251e-05,0.0
1.9519715009186486e-05,0.0
1.9827257883213304e-05,0.0
1.989021794675911e-05,0.0
2.019634553076663e-05,0.0
2.031878081206466e-05,0.0
2.045652202054172e-05,0.0
2.189160468108973e-05,0.0
2.219850238517256e-05,0.0
2.2630893474302168e-05,0.0
2.264217182706181e-05,0.0
2.2703269859938912e-05,0.0
2.2790290037530184e-05,0.0
2.4256011969747438e-05,0.0
2.4479225769132865e-05,0.0
2.4863530823866165e-05,0.0
2.5157677300365183e-05,0.0
2.5246854525795473e-05,0.0
2.541121818455801e-05,0.0
2.573558570705936e-05,0.0
2.6167809599896572e-05,0.0
2.619165645442899e-05,0.0
2.6336197572178795e-05,0.0
2.7189865925956905e-05,0.0
2.7233945360764654e-05,0.0
2.8200640584693682e-05,0.0
2.9277909107614995e-05,0.0
2.9322654456520025e-05,0.0
2.946538606639031e-05,0.0
2.9885063830503467e-05,0.0
3.013408736893732e-05,0.0
3.0393702865157313e-05,0.0
3.11921361913537e-05,0.0
3.159869611924514e-05,0.0
3.290493588736396e-05,0.0
3.3147372803369155e-05,0.0
3.418122365389528e-05,0.0
3.7166814767492674e-05,0.0
3.764149871631365e-05,0.0
3.778905175301384e-05,0.0
3.807097689470536e-05,0.0
3.8611197437374704e-05,0.0
3.962836718459855e-05,0.0
4.0297331549496005e-05,0.0
4.0890687922967787e-05,0.0
4.232374225892618e-05,0.0
4.295666060870536e-05,0.0
4.343443732711991e-05,0.0
4.358545043304419e-05,0.0
4.372230302758151e-05,0.0
4.422714933387043e-05,0.0
4.456228536493876e-05,0.0
4.463302276124673e-05,0.0
4.484999344334729e-05,0.0
4.608886321428259e-05,0.0
4.6198892072387904e-05,0.0
4.660573017219386e-05,0.0
4.690245031772395e-05,0.0
4.7089653118779676e-05,0.0
4.7348492344657964e-05,0.0
4.741236607826466e-05,0.0
4.7438981265750006e-05,0.0
4.758873089531836e-05,0.0
4.815314938074929e-05,0.0
4.8676781401204504e-05,0.0
4.915677407753392e-05,0.0
4.9594192522949636e-05,0.0
5.002884432551867e-05,0.0
5.034516191465682e-05,0.0
5.050071237310162e-05,0.0
5.06694424666192e-05,0.0
5.0888112484721744e-05,0.0
5.152677150627949e-05,0.0
5.233326005134099e-05,0.0
5.241803432799288e-05,0.0
5.360500948137667e-05,0.0
5.436657191848382e-05,0.0
5.451482611071995e-05,0.0
5.4568559715505874e-05,0.0
5.515185526191368e-05,0.0
5.569762109377592e-05,0.0
5.643951993926858e-05,0.0
5.694412159853248e-05,0.0
5.713803871314354e-05,0.0
5.7564643800271455e-05,0.0
5.7735889629400266e-05,0.0
5.856576695899747e-05,0.0
6.005669674583458e-05,0.0
6.079415650216161e-05,0.0
6.125269195582123e-05,0.0
6.144628748281889e-05,0.0
6.147706041110226e-05,0.0
6.154645190232894e-05,0.0
6.192862598211259e-05,0.0
6.240239980249851e-05,0.0
6.287483374757942e-05,0.0
6.334527046639322e-05,0.0
6.361149595577426e-05,0.0
6.419508714202543e-05,0.0
6.438169667849963e-05,0.0
6.44493563197794e-05,0.0
6.480216948845981e-05,0.0
6.567586143604446e-05,0.0
6.706098341380193e-05,0.0
6.70959667157094e-05,0.0
6.74728504780128e-05,0.0
6.759635938401191e-05,0.0
6.781953436354695e-05,0.0
6.842718979295204e-05,0.0
6.887945990824552e-05,0.0
6.944754047856064e-05,0.0
6.974373623812721e-05,0.0
7.002979460797462e-05,0.0
7.144562502534277e-05,0.0
7.274469441625794e-05,0.0
7.367543830254849e-05,0.0
7.370596348810454e-05,0.0
7.435218068080225e-05,0.0
7.501702895243602e-05,0.0
7.568313386695506e-05,0.0
7.645546153010622e-05,0.0
7.675448231791136e-05,0.0
7.726087567832537e-05,0.0
7.769012063464009e-05,0.0
7.788268003182714e-05,0.0
7.851459931682649e-05,0.0
7.886931149638543e-05,0.0
7.946359441894433e-05,0.0
8.008207241361988e-05,0.0
8.01912802516694e-05,0.0
8.051977481997383e-05,0.0
8.099356712356067e-05,0.0
8.129280929033671e-05,0.0
8.179927141394882e-05,0.0
8.202470853601396e-05,0.0
8.268817621814779e-05,0.0
8.409672204608593e-05,0.0
8.449715559586287e-05,0.0
8.474077790745737e-05,0.0
8.524993273276458e-05,0.0
8.623188117714162e-05,0.0
8.747395793364631e-05,0.0
8.797800738409606e-05,0.0
8.884636522041908e-05,0.0
8.928716348714675e-05,0.0
9.024641161376659e-05,0.0
9.141636712368523e-05,0.0
9.230179178963932e-05,0.0
9.249120031511608e-05,0.0
9.24992491546795e-05,0.0
9.35108414191337e-05,0.0
9.647139526471128e-05,0.0
9.669309986619113e-05,0.0
9.71166035057992e-05,0.0
9.77284595555867e-05,0.0
9.855855594144587e-05,0.0
9.86758454733774e-05,0.0
9.976813658898918e-05,0.0
0.00010027256786708082,0.0
0.00010089919870359406,0.0
0.0001016932806664907,0.0
0.00010191721513349901,0.0
0.0001029100877502529,0.0
0.00010344772589938045,0.0
0.00010493790237206631,0.0
0.00010493990128395596,0.0
0.00010494020921488978,0.0
0.0001054733650722529,0.0
0.00010558420892689598,0.0
0.00010628511493653151,0.0
0.0001068115026591812,0.0
0.00010719083968503234,0.0
0.00010924026608357412,0.0
0.00010946372639927514,0.0
0.0001095360058653927,0.0
0.00011002812027991377,0.0
0.00011057733886414978,0.0
0.00011097871662830152,0.0
0.00011224000112008395,0.0
0.00011330916824795814,0.0
0.00011406061431348466,0.0
0.00011452811982979259,0.0
0.00011637957918896043,0.0
0.00011769705960958758,0.0
0.00011828877993687976,0.0
0.00011885255476682005,0.0
0.00011941351338491074,0.0
0.00012294292869975907,0.0
0.00012702314578654395,0.0
0.00012842733611346548,0.0
0.00012876413486306626,0.0
0.00012959900125736465,0.0
0.00013066596682800911,0.0
0.00013219249414653884,0.0
0.00013304550133501564,0.0
0.00013358147601997175,0.0
0.00013488370064605222,0.0
0.0001351902587329749,0.0
0.0001370373914677049,0.0
0.0001373145927559216,0.0
0.0001373453248268168,0.0
0.00013773559648295647,0.0
0.0001387509360664788,0.0
0.0001387924074688247,0.0
0.00013920069921041078,0.0
0.00013955139412174828,0.0
0.00013964908858788875,0.0
0.00014016307568049736,0.0
0.0001402863648458257,0.0
0.0001407588087577692,0.0
0.00014118212459034884,0.0
0.00014140677004330143,0.0
0.00014182000195297854,0.0
0.00014185675052013754,0.0
0.00014195761152864693,0.0
0.00014350246880301415,0.0
0.00014472210992419007,0.0
0.00014528686585198904,0.0
0.00014590902937572524,0.0
0.00014607788670064768,0.0
0.00015135367848263088,0.0
0.0001524042578749457,0.0
0.0001530945179089441,0.0
0.00015479091447520848,0.0
0.00015697870697223542,0.0
0.00015722350622712045,0.0
0.00015726102460249266,0.0
0.00015778744462042611,0.0
0.0001584295630588944,0.0
0.00015884504551042525,0.0
0.00016055389883281538,0.0
0.0001613615348533375,0.0
0.00016304201190034566,0.0
0.0001639564480965914,0.0
0.00016468635919863862,0.0
0.00016717663222404956,0.0
0.00016741235232367344,0.0
0.0001674943902404313,0.0
0.000168599117118087,0.0
0.0001686248198845544,0.0
0.00016924654116121337,0.0
0.00017048005336069776,0.0
0.0001710933746723312,0.0
0.00017178542159154603,0.0
0.0001730608891804387,0.0
0.00017323016803248842,0.0
0.00017468060806249036,0.0
0.00017577400613050172,0.0
