time,conversion,size_x,size_y,n_seeds,run_id,rng_seed
0.01605041707304288,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.08862149944543063,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.1419979560315303,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.20009332525682916,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.2123798145415438,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.22154022896014758,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.29452629193954316,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.46452725115970595,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.4679223600062657,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.5284851925717918,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.5791544115075874,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.6043627304405798,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.66058245514368,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.8255519277617174,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.8546566050475204,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.8914824610218659,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.8983259941713054,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.9245561322552452,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.9556418069676216,0.0,75,75,115,size_75x75_run_002_seed_123,123
0.9733108307445436,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.0001972414484137,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.0985124149131844,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.1094180323526712,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.119654314901409,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.1630728899107403,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.1669931100959368,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.1751178693019524,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.205977286227982,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.267593927146659,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.2730305538490956,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.288841880735743,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.3560813765261868,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.4057137244406182,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.4228607309628472,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.4653899459792614,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.4784639684531073,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.5053586187987098,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.5291208938451921,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.5816271631166194,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.58227047716561,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.5852487629050829,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.6443482086158805,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.6708875615026189,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.7067584254384087,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.7212729479792777,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.7239904643714918,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.7275797873657703,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.7368760800810907,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.7849286697453617,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.81109122766798,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.8370482459642488,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.8383549823565308,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.8585999276276264,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.9021650364844027,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.9317734809267273,0.0,75,75,115,size_75x75_run_002_seed_123,123
1.9366562265964693,0.0,75,75,115,size_75x75_run_002_seed_123,123
2.0241034441331722,0.0,75,75,115,size_75x75_run_002_seed_123,123
2.032154732565666,0.0,75,75,115,size_75x75_run_002_seed_123,123
2.057004825702275,0.0,75,75,115,size_75x75_run_002_seed_123,123
2.062069102138741,0.04997501249375312,75,75,115,size_75x75_run_002_seed_123,123
2.086565163326507,0.04997501249375312,75,75,115,size_75x75_run_002_seed_123,123
2.0962702760707814,0.04997501249375312,75,75,115,size_75x75_run_002_seed_123,123
2.1071022818906076,0.04997501249375312,75,75,115,size_75x75_run_002_seed_123,123
2.218972431204164,0.04997501249375312,75,75,115,size_75x75_run_002_seed_123,123
2.2424967953631176,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.275630174658685,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.2764762041547537,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.2810166295967678,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.2874230222843828,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.3943195159837636,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.410543908126772,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.4384982577688383,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.459695333972682,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.4660618135845214,0.0999000999000999,75,75,115,size_75x75_run_002_seed_123,123
2.47751185998258,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.500216396120181,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.5303439975472135,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.531991812500015,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.541915716258994,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.598938433856638,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.6018558772757348,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.6656009613353757,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.736466507978171,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.739393831280976,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
2.761849699670237,0.14977533699450823,75,75,115,size_75x75_run_002_seed_123,123
